,pokemon_nome,pokemon_altura,pokemon_peso,pokemon_cor_pokedex,pokemon_evolucao,pokemon_tipo,Dano
723.0,Dartrix,2'040.7 m,35.3 lbs.16.0 kg,Brown,['Decidueye'],"['Grass', 'Flying']","{'Normal': '*1', 'Fire': '*2', 'Water': '*0.5', 'Electric': '*1', 'Grass': '*0.25', 'Ice': '*4', 'Fighting': '*0.5', 'Poison': '*2', 'Ground': '*0', 'Flying': '*2', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*2', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*1'}"
722.0,Rowlet,1'000.3 m,3.3 lbs.1.5 kg,Brown,"['Dartrix', 'Decidueye']","['Grass', 'Flying']","{'Normal': '*1', 'Fire': '*2', 'Water': '*0.5', 'Electric': '*1', 'Grass': '*0.25', 'Ice': '*4', 'Fighting': '*0.5', 'Poison': '*2', 'Ground': '*0', 'Flying': '*2', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*2', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*1'}"
721.0,Volcanion,,,,[],"['Fire', 'Water']","{'Normal': '*1', 'Fire': '*0.25', 'Water': '*1', 'Electric': '*2', 'Grass': '*1', 'Ice': '*0.25', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*2', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*0.5', 'Rock': '*2', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*0.25', 'Fairy': '*0.5'}"
719.0,Diancie,2'040.7 m,19.4 lbs.8.8 kg,Pink,[],"['Rock', 'Fairy']","{'Normal': '*0.5', 'Fire': '*0.5', 'Water': '*2', 'Electric': '*1', 'Grass': '*2', 'Ice': '*1', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*1', 'Bug': '*0.5', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*0', 'Dark': '*0.5', 'Steel': '*4', 'Fairy': '*1'}"
718.0,Zygarde,16'055.0 m,672.4 lbs.305.0 kg,Green,[],"['Dragon', 'Ground']","{'Normal': '*1', 'Fire': '*0.5', 'Water': '*1', 'Electric': '*0', 'Grass': '*1', 'Ice': '*4', 'Fighting': '*1', 'Poison': '*0.5', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*0.5', 'Ghost': '*1', 'Dragon': '*2', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*2'}"
717.0,Yveltal,,,,[],"['Dark', 'Flying']","{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*2', 'Grass': '*0.5', 'Ice': '*2', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*0', 'Flying': '*1', 'Psychic': '*0', 'Bug': '*1', 'Rock': '*2', 'Ghost': '*0.5', 'Dragon': '*1', 'Dark': '*0.5', 'Steel': '*1', 'Fairy': '*2'}"
716.0,Xerneas,,,,[],['Fairy'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*0.5', 'Poison': '*2', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*0.5', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*0', 'Dark': '*0.5', 'Steel': '*2', 'Fairy': '*1'}"
715.0,Noivern,4'111.5 m,187.4 lbs.85.0 kg,Purple,[],"['Flying', 'Dragon']","{'Normal': '*1', 'Fire': '*0.5', 'Water': '*0.5', 'Electric': '*1', 'Grass': '*0.25', 'Ice': '*4', 'Fighting': '*0.5', 'Poison': '*1', 'Ground': '*0', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*0.5', 'Rock': '*2', 'Ghost': '*1', 'Dragon': '*2', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*2'}"
714.0,Noibat,1'080.5 m,17.6 lbs.8.0 kg,Purple,['Noivern'],"['Flying', 'Dragon']","{'Normal': '*1', 'Fire': '*0.5', 'Water': '*0.5', 'Electric': '*1', 'Grass': '*0.25', 'Ice': '*4', 'Fighting': '*0.5', 'Poison': '*1', 'Ground': '*0', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*0.5', 'Rock': '*2', 'Ghost': '*1', 'Dragon': '*2', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*2'}"
713.0,Avalugg,6'072.0 m,1113.3 lbs.505.0 kg,Blue,[],['Ice'],"{'Normal': '*1', 'Fire': '*2', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*0.5', 'Fighting': '*2', 'Poison': '*1', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*2', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*2', 'Fairy': '*1'}"
712.0,Bergmite,3'031.0 m,219.4 lbs.99.5 kg,Blue,['Avalugg'],['Ice'],"{'Normal': '*1', 'Fire': '*2', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*0.5', 'Fighting': '*2', 'Poison': '*1', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*2', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*2', 'Fairy': '*1'}"
711.0,Gourgeist,2'040.7 m,20.9 lbs.9.5 kg,Brown,[],"['Ghost', 'Grass']","{'Normal': '*0', 'Fire': '*2', 'Water': '*0.5', 'Electric': '*0.5', 'Grass': '*0.5', 'Ice': '*2', 'Fighting': '*0', 'Poison': '*1', 'Ground': '*0.5', 'Flying': '*2', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*2', 'Dragon': '*1', 'Dark': '*2', 'Steel': '*1', 'Fairy': '*1'}"
709.0,Trevenant,4'111.5 m,156.5 lbs.71.0 kg,Brown,[],"['Ghost', 'Grass']","{'Normal': '*0', 'Fire': '*2', 'Water': '*0.5', 'Electric': '*0.5', 'Grass': '*0.5', 'Ice': '*2', 'Fighting': '*0', 'Poison': '*1', 'Ground': '*0.5', 'Flying': '*2', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*2', 'Dragon': '*1', 'Dark': '*2', 'Steel': '*1', 'Fairy': '*1'}"
710.0,Pumpkaboo,1'000.3 m,7.7 lbs.3.5 kg,Brown,['Gourgeist'],"['Ghost', 'Grass']","{'Normal': '*0', 'Fire': '*2', 'Water': '*0.5', 'Electric': '*0.5', 'Grass': '*0.5', 'Ice': '*2', 'Fighting': '*0', 'Poison': '*1', 'Ground': '*0.5', 'Flying': '*2', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*2', 'Dragon': '*1', 'Dark': '*2', 'Steel': '*1', 'Fairy': '*1'}"
708.0,Phantump,1'040.4 m,15.4 lbs.7.0 kg,Brown,['Trevenant'],"['Ghost', 'Grass']","{'Normal': '*0', 'Fire': '*2', 'Water': '*0.5', 'Electric': '*0.5', 'Grass': '*0.5', 'Ice': '*2', 'Fighting': '*0', 'Poison': '*1', 'Ground': '*0.5', 'Flying': '*2', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*2', 'Dragon': '*1', 'Dark': '*2', 'Steel': '*1', 'Fairy': '*1'}"
707.0,Klefki,0'080.2 m,6.6 lbs.3.0 kg,Gray,[],"['Steel', 'Fairy']","{'Normal': '*0.5', 'Fire': '*2', 'Water': '*1', 'Electric': '*1', 'Grass': '*0.5', 'Ice': '*0.5', 'Fighting': '*1', 'Poison': '*0', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*0.5', 'Bug': '*0.25', 'Rock': '*0.5', 'Ghost': '*1', 'Dragon': '*0', 'Dark': '*0.5', 'Steel': '*1', 'Fairy': '*0.5'}"
706.0,Goodra,6'072.0 m,331.8 lbs.150.5 kg,Purple,[],['Dragon'],"{'Normal': '*1', 'Fire': '*0.5', 'Water': '*0.5', 'Electric': '*0.5', 'Grass': '*0.5', 'Ice': '*2', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*2', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*2'}"
705.0,Sliggoo,2'070.8 m,38.6 lbs.17.5 kg,Purple,['Goodra'],['Dragon'],"{'Normal': '*1', 'Fire': '*0.5', 'Water': '*0.5', 'Electric': '*0.5', 'Grass': '*0.5', 'Ice': '*2', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*2', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*2'}"
704.0,Goomy,1'000.3 m,6.2 lbs.2.8 kg,Purple,"['Sliggoo', 'Goodra']",['Dragon'],"{'Normal': '*1', 'Fire': '*0.5', 'Water': '*0.5', 'Electric': '*0.5', 'Grass': '*0.5', 'Ice': '*2', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*2', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*2'}"
703.0,Carbink,1'000.3 m,12.6 lbs.5.7 kg,Gray,[],"['Rock', 'Fairy']","{'Normal': '*0.5', 'Fire': '*0.5', 'Water': '*2', 'Electric': '*1', 'Grass': '*2', 'Ice': '*1', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*1', 'Bug': '*0.5', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*0', 'Dark': '*0.5', 'Steel': '*4', 'Fairy': '*1'}"
701.0,Hawlucha,2'070.8 m,47.4 lbs.21.5 kg,Green,[],"['Fighting', 'Flying']","{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*2', 'Grass': '*0.5', 'Ice': '*2', 'Fighting': '*0.5', 'Poison': '*1', 'Ground': '*0', 'Flying': '*2', 'Psychic': '*2', 'Bug': '*0.25', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*0.5', 'Steel': '*1', 'Fairy': '*2'}"
702.0,Dedenne,0'080.2 m,4.9 lbs.2.2 kg,Yellow,[],"['Electric', 'Fairy']","{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*0.5', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*0.5', 'Poison': '*2', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*1', 'Bug': '*0.5', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*0', 'Dark': '*0.5', 'Steel': '*1', 'Fairy': '*1'}"
700.0,Sylveon,3'031.0 m,51.8 lbs.23.5 kg,Pink,['Learn as Eevee'],['Fairy'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*0.5', 'Poison': '*2', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*0.5', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*0', 'Dark': '*0.5', 'Steel': '*2', 'Fairy': '*1'}"
699.0,Aurorus,8'102.7 m,496.0 lbs.225.0 kg,Blue,[],"['Rock', 'Ice']","{'Normal': '*0.5', 'Fire': '*1', 'Water': '*2', 'Electric': '*1', 'Grass': '*2', 'Ice': '*0.5', 'Fighting': '*4', 'Poison': '*0.5', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*2', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*4', 'Fairy': '*1'}"
697.0,Tyrantrum,8'022.5 m,595.2 lbs.270.0 kg,Red,[],"['Rock', 'Dragon']","{'Normal': '*0.5', 'Fire': '*0.25', 'Water': '*1', 'Electric': '*0.5', 'Grass': '*1', 'Ice': '*2', 'Fighting': '*2', 'Poison': '*0.5', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*2', 'Dark': '*1', 'Steel': '*2', 'Fairy': '*2'}"
696.0,Tyrunt,2'070.8 m,57.3 lbs.26.0 kg,Brown,['Tyrantrum'],"['Rock', 'Dragon']","{'Normal': '*0.5', 'Fire': '*0.25', 'Water': '*1', 'Electric': '*0.5', 'Grass': '*1', 'Ice': '*2', 'Fighting': '*2', 'Poison': '*0.5', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*2', 'Dark': '*1', 'Steel': '*2', 'Fairy': '*2'}"
695.0,Heliolisk,3'031.0 m,46.3 lbs.21.0 kg,Yellow,[],"['Electric', 'Normal']","{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*0.5', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*2', 'Poison': '*1', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*0', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*0.5', 'Fairy': '*1'}"
694.0,Helioptile,1'080.5 m,13.2 lbs.6.0 kg,Yellow,['Heliolisk'],"['Electric', 'Normal']","{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*0.5', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*2', 'Poison': '*1', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*0', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*0.5', 'Fairy': '*1'}"
693.0,Clawitzer,,,,[],['Water'],"{'Normal': '*1', 'Fire': '*0.5', 'Water': '*0.5', 'Electric': '*2', 'Grass': '*2', 'Ice': '*0.5', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*0.5', 'Fairy': '*1'}"
692.0,Clauncher,,,,['Clawitzer'],['Water'],"{'Normal': '*1', 'Fire': '*0.5', 'Water': '*0.5', 'Electric': '*2', 'Grass': '*2', 'Ice': '*0.5', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*0.5', 'Fairy': '*1'}"
691.0,Dragalge,5'111.8 m,179.7 lbs.81.5 kg,Brown,[],"['Poison', 'Dragon']","{'Normal': '*1', 'Fire': '*0.5', 'Water': '*0.5', 'Electric': '*0.5', 'Grass': '*0.25', 'Ice': '*2', 'Fighting': '*0.5', 'Poison': '*0.5', 'Ground': '*2', 'Flying': '*1', 'Psychic': '*2', 'Bug': '*0.5', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*2', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*1'}"
698.0,Amaura,4'031.3 m,55.6 lbs.25.2 kg,Blue,['Aurorus'],"['Rock', 'Ice']","{'Normal': '*0.5', 'Fire': '*1', 'Water': '*2', 'Electric': '*1', 'Grass': '*2', 'Ice': '*0.5', 'Fighting': '*4', 'Poison': '*0.5', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*2', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*4', 'Fairy': '*1'}"
690.0,Skrelp,1'080.5 m,16.1 lbs.7.3 kg,Brown,['Dragalge'],"['Poison', 'Water']","{'Normal': '*1', 'Fire': '*0.5', 'Water': '*0.5', 'Electric': '*2', 'Grass': '*1', 'Ice': '*0.5', 'Fighting': '*0.5', 'Poison': '*0.5', 'Ground': '*2', 'Flying': '*1', 'Psychic': '*2', 'Bug': '*0.5', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*0.5', 'Fairy': '*0.5'}"
682.0,Spritzee,0'080.2 m,1.1 lbs.0.5 kg,Pink,['Aromatisse'],['Fairy'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*0.5', 'Poison': '*2', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*0.5', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*0', 'Dark': '*0.5', 'Steel': '*2', 'Fairy': '*1'}"
689.0,Barbaracle,4'031.3 m,211.6 lbs.96.0 kg,Brown,[],"['Rock', 'Water']","{'Normal': '*0.5', 'Fire': '*0.25', 'Water': '*1', 'Electric': '*2', 'Grass': '*4', 'Ice': '*0.5', 'Fighting': '*2', 'Poison': '*0.5', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*1'}"
688.0,Binacle,1'080.5 m,68.3 lbs.31.0 kg,Brown,['Barbaracle'],"['Rock', 'Water']","{'Normal': '*0.5', 'Fire': '*0.25', 'Water': '*1', 'Electric': '*2', 'Grass': '*4', 'Ice': '*0.5', 'Fighting': '*2', 'Poison': '*0.5', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*1'}"
686.0,Inkay,1'040.4 m,7.7 lbs.3.5 kg,Blue,['Malamar'],"['Dark', 'Psychic']","{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*0', 'Bug': '*4', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*2'}"
687.0,Malamar,4'111.5 m,103.6 lbs.47.0 kg,Blue,[],"['Dark', 'Psychic']","{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*0', 'Bug': '*4', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*2'}"
684.0,Swirlix,1'040.4 m,7.7 lbs.3.5 kg,White,['Slurpuff'],['Fairy'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*0.5', 'Poison': '*2', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*0.5', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*0', 'Dark': '*0.5', 'Steel': '*2', 'Fairy': '*1'}"
683.0,Aromatisse,2'070.8 m,34.2 lbs.15.5 kg,Pink,[],['Fairy'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*0.5', 'Poison': '*2', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*0.5', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*0', 'Dark': '*0.5', 'Steel': '*2', 'Fairy': '*1'}"
680.0,Doublade,,,,['Aegislash'],"['Steel', 'Ghost']","{'Normal': '*0', 'Fire': '*2', 'Water': '*1', 'Electric': '*1', 'Grass': '*0.5', 'Ice': '*0.5', 'Fighting': '*0', 'Poison': '*0', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*0.5', 'Bug': '*0.25', 'Rock': '*0.5', 'Ghost': '*2', 'Dragon': '*0.5', 'Dark': '*2', 'Steel': '*0.5', 'Fairy': '*0.5'}"
681.0,Aegislash,,,,[],"['Steel', 'Ghost']","{'Normal': '*0', 'Fire': '*2', 'Water': '*1', 'Electric': '*1', 'Grass': '*0.5', 'Ice': '*0.5', 'Fighting': '*0', 'Poison': '*0', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*0.5', 'Bug': '*0.25', 'Rock': '*0.5', 'Ghost': '*2', 'Dragon': '*0.5', 'Dark': '*2', 'Steel': '*0.5', 'Fairy': '*0.5'}"
679.0,Honedge,,,,"['Doublade', 'Aegislash']","['Steel', 'Ghost']","{'Normal': '*0', 'Fire': '*2', 'Water': '*1', 'Electric': '*1', 'Grass': '*0.5', 'Ice': '*0.5', 'Fighting': '*0', 'Poison': '*0', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*0.5', 'Bug': '*0.25', 'Rock': '*0.5', 'Ghost': '*2', 'Dragon': '*0.5', 'Dark': '*2', 'Steel': '*0.5', 'Fairy': '*0.5'}"
678.0,Meowstic,2'000.6 m,18.7 lbs.8.5 kg,Blue,[],['Psychic'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*0.5', 'Poison': '*1', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*0.5', 'Bug': '*2', 'Rock': '*1', 'Ghost': '*2', 'Dragon': '*1', 'Dark': '*2', 'Steel': '*1', 'Fairy': '*1'}"
677.0,Espurr,1'000.3 m,7.7 lbs.3.5 kg,Gray,['Meowstic'],['Psychic'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*0.5', 'Poison': '*1', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*0.5', 'Bug': '*2', 'Rock': '*1', 'Ghost': '*2', 'Dragon': '*1', 'Dark': '*2', 'Steel': '*1', 'Fairy': '*1'}"
675.0,Pangoro,6'112.1 m,299.8 lbs.136.0 kg,White,[],"['Fighting', 'Dark']","{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*2', 'Poison': '*1', 'Ground': '*1', 'Flying': '*2', 'Psychic': '*0', 'Bug': '*1', 'Rock': '*0.5', 'Ghost': '*0.5', 'Dragon': '*1', 'Dark': '*0.25', 'Steel': '*1', 'Fairy': '*4'}"
674.0,Pancham,2'000.6 m,17.6 lbs.8.0 kg,White,['Pangoro'],['Fighting'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*1', 'Flying': '*2', 'Psychic': '*2', 'Bug': '*0.5', 'Rock': '*0.5', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*0.5', 'Steel': '*1', 'Fairy': '*2'}"
659.0,Bunnelby,1'040.4 m,11.0 lbs.5.0 kg,Brown,['Diggersby'],['Normal'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*2', 'Poison': '*1', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*0', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*1'}"
663.0,Talonflame,3'111.2 m,54.0 lbs.24.5 kg,Red,[],"['Fire', 'Flying']","{'Normal': '*1', 'Fire': '*0.5', 'Water': '*2', 'Electric': '*2', 'Grass': '*0.25', 'Ice': '*1', 'Fighting': '*0.5', 'Poison': '*1', 'Ground': '*0', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*0.25', 'Rock': '*4', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*0.5', 'Fairy': '*0.5'}"
661.0,Fletchling,1'000.3 m,3.7 lbs.1.7 kg,Red,"['Fletchinder', 'Talonflame']","['Normal', 'Flying']","{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*2', 'Grass': '*0.5', 'Ice': '*2', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*0', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*0.5', 'Rock': '*2', 'Ghost': '*0', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*1'}"
662.0,Fletchinder,2'040.7 m,35.3 lbs.16.0 kg,Red,['Talonflame'],"['Fire', 'Flying']","{'Normal': '*1', 'Fire': '*0.5', 'Water': '*2', 'Electric': '*2', 'Grass': '*0.25', 'Ice': '*1', 'Fighting': '*0.5', 'Poison': '*1', 'Ground': '*0', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*0.25', 'Rock': '*4', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*0.5', 'Fairy': '*0.5'}"
660.0,Diggersby,3'031.0 m,93.5 lbs.42.4 kg,Brown,[],"['Normal', 'Ground']","{'Normal': '*1', 'Fire': '*1', 'Water': '*2', 'Electric': '*0', 'Grass': '*2', 'Ice': '*2', 'Fighting': '*2', 'Poison': '*0.5', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*0.5', 'Ghost': '*0', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*1'}"
649.0,Genesect,,,,"['Shock Drive', 'Burn Drive', 'Chill Drive', 'Douse Drive']","['Bug', 'Steel']","{'Normal': '*0.5', 'Fire': '*4', 'Water': '*1', 'Electric': '*1', 'Grass': '*0.25', 'Ice': '*0.5', 'Fighting': '*1', 'Poison': '*0', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*0.5', 'Bug': '*0.5', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*0.5', 'Dark': '*1', 'Steel': '*0.5', 'Fairy': '*0.5'}"
645.0,Landorus,4'111.5 m,149.9 lbs.68.0 kg,Brown,[],"['Ground', 'Flying']","{'Normal': '*1', 'Fire': '*1', 'Water': '*2', 'Electric': '*0', 'Grass': '*1', 'Ice': '*4', 'Fighting': '*0.5', 'Poison': '*0.5', 'Ground': '*0', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*0.5', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*1'}"
642.0,Thundurus,4'111.5 m,134.5 lbs.61.0 kg,Blue,[],"['Electric', 'Flying']","{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*0.5', 'Ice': '*2', 'Fighting': '*0.5', 'Poison': '*1', 'Ground': '*0', 'Flying': '*0.5', 'Psychic': '*1', 'Bug': '*0.5', 'Rock': '*2', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*0.5', 'Fairy': '*1'}"
644.0,Zekrom,,,,[],"['Dragon', 'Electric']","{'Normal': '*1', 'Fire': '*0.5', 'Water': '*0.5', 'Electric': '*0.25', 'Grass': '*0.5', 'Ice': '*2', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*2', 'Dark': '*1', 'Steel': '*0.5', 'Fairy': '*2'}"
